run_id,dataset,scenario,scenario_variant,method,method_label,aggregation_method,reward_policy,beta,gamma,delta,mad_threshold,cosine_threshold,direction_min_norm_z,min_honest_ratio,fallback_hard_z,suspicion_decay,suspicion_threshold,low_quality_z_threshold,low_quality_suspicion,zero_data_suspicion,anomaly_suspicion,authenticity_suspicion,low_authenticity_threshold,dirichlet_alpha,attack_type,attack_label,round_num,n_participating,n_malicious,n_honest,detection_tp,detection_fn,detection_fp,detection_tn,quarantine_tp,quarantine_fn,quarantine_fp,quarantine_tn,attack_detection_rate,attack_reward_block_rate,false_positive_detection_rate,false_positive_quarantine_rate,attacker_reward_share,honest_reward_share,data_commitment_anomaly_count,data_commitment_anomaly_rate,low_quality_outlier_count,low_quality_outlier_rate,suspicion_quarantine_count,suspicion_quarantine_rate,direction_anomaly_count,direction_anomaly_rate,fallback_triggered_count,fallback_triggered_rate,fallback_accept_all_count,fallback_accept_all_rate,fallback_soft_filter_count,fallback_soft_filter_rate
mnist_K1_csra_dcd_csra_b50g30d20_s42_stealth_free_rider_20260611_164205,mnist,K1,K1,csra_dcd+csra,CSRA-DCD + CSRAReward,csra_dcd,csra,0.5,0.3,0.2,3.0,-0.8,0.0,0.5,6.0,0.6,1.0,2.0,0.5,1.0,0.8,1.2,1.7,0.0,stealth_free_rider,attack,1,5,2,3,2,0,0,3,2,0,0,3,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
mnist_K1_csra_dcd_csra_b50g30d20_s42_stealth_free_rider_20260611_164415,mnist,K1,K1,csra_dcd+csra,CSRA-DCD + CSRAReward,csra_dcd,csra,0.5,0.3,0.2,3.0,-0.8,0.0,0.5,6.0,0.6,1.0,2.0,0.5,1.0,0.8,1.2,1.7,0.0,stealth_free_rider,attack,1,5,2,3,2,0,0,3,2,0,0,3,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
